Site,Place,Latitude,Longitude,Year,Microplastic_Level,pH_Level,Temperature
Sampiruhan,Sampiruhan,14.4,121.1,2018,675.526,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2560.0,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1282.882,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3505.516,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,687.027,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2872.788,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1573.776,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2228.244,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1915.971,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1751.825,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1528.586,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2200.591,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1525.469,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,769.245,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,673.337,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2991.453,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,973.841,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1196.024,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1662.942,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1125.412,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2467.27,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1331.992,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1637.792,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1840.796,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1398.945,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,801.216,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2448.93,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1083.577,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,816.719,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2298.081,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3067.758,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1804.741,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1378.068,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1848.123,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,751.115,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,878.626,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2343.011,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1492.01,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1454.483,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,943.493,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,673.083,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1825.495,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,935.595,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1441.091,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,683.588,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,429.386,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,928.31,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,985.119,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1193.535,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3360.522,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1079.294,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1381.114,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,803.073,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1036.258,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,846.369,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1027.848,,
